Residenza;Destinazione;valore
umbria;MOLISE;8
umbria;CAMPANIA;30
umbria;PUGLIA;29
umbria;BASILICATA;16
umbria;CALABRIA;15
umbria;SICILIA;22
umbria;SARDEGNA;9
marche;PIEMONTE;99
marche;VAL D'AOSTA;17
marche;LOMBARDIA;292
marche;TRENTO;40
marche;VENETO;110
marche;FRIULI VENEZIA GIULIA;29
marche;LIGURIA;28
marche;EMILIA ROMAGNA;701
marche;TOSCANA;184
marche;UMBRIA;251
marche;LAZIO;267
marche;ABRUZZO;338
marche;MOLISE;8
marche;CAMPANIA;40
marche;PUGLIA;29
marche;BASILICATA;7
marche;CALABRIA;7
marche;SICILIA;31
marche;SARDEGNA;16
lazio;PIEMONTE;292
lazio;VAL D'AOSTA;66
lazio;LOMBARDIA;706
lazio;TRENTO;158
lazio;VENETO;250
lazio;FRIULI VENEZIA GIULIA;147
lazio;LIGURIA;136
lazio;EMILIA ROMAGNA;492
lazio;TOSCANA;756
lazio;UMBRIA;825
lazio;MARCHE;263
lazio;ABRUZZO;500
lazio;MOLISE;100
lazio;CAMPANIA;289
lazio;PUGLIA;119
lazio;BASILICATA;62
lazio;CALABRIA;100
lazio;SICILIA;156
lazio;SARDEGNA;97
abruzzo;PIEMONTE;219
abruzzo;VAL D'AOSTA;63
abruzzo;LOMBARDIA;588
abruzzo;TRENTO;107
abruzzo;VENETO;219
abruzzo;FRIULI VENEZIA GIULIA;103
abruzzo;LIGURIA;93
abruzzo;EMILIA ROMAGNA;726
abruzzo;TOSCANA;375
abruzzo;UMBRIA;269
abruzzo;MARCHE;1135
abruzzo;LAZIO;1105
abruzzo;MOLISE;289
abruzzo;CAMPANIA;106
abruzzo;PUGLIA;125
abruzzo;BASILICATA;48
abruzzo;CALABRIA;29
abruzzo;SICILIA;59
abruzzo;SARDEGNA;53
molise;PIEMONTE;89
molise;VAL D'AOSTA;24
molise;LOMBARDIA;178
molise;TRENTO;37
molise;VENETO;78
molise;FRIULI VENEZIA GIULIA;32
molise;LIGURIA;32
molise;EMILIA ROMAGNA;295
molise;TOSCANA;157
molise;UMBRIA;112
molise;MARCHE;160
molise;LAZIO;399
molise;ABRUZZO;789
molise;CAMPANIA;124
molise;PUGLIA;95
molise;BASILICATA;18
molise;CALABRIA;15
molise;SICILIA;22
molise;SARDEGNA;19
campania;PIEMONTE;1248
campania;VAL D'AOSTA;319
campania;LOMBARDIA;3126
campania;TRENTO;482
campania;VENETO;1097
campania;FRIULI VENEZIA GIULIA;616
campania;LIGURIA;577
campania;EMILIA ROMAGNA;2767
campania;TOSCANA;2670
campania;UMBRIA;950
campania;MARCHE;753
campania;LAZIO;4939
campania;ABRUZZO;854
campania;MOLISE;722
campania;PUGLIA;704
campania;BASILICATA;647
campania;CALABRIA;409
campania;SICILIA;367
campania;SARDEGNA;290
puglia;PIEMONTE;1323
puglia;VAL D'AOSTA;250
puglia;LOMBARDIA;2687
puglia;TRENTO;472
puglia;VENETO;988
puglia;FRIULI VENEZIA GIULIA;465
puglia;LIGURIA;372
